Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
Leandro28544880,,97.66,,,,,,,,,,,,,,,
jlio_fraga,,97.65,,,,,,,,,,,,,,,
Celiano23711797,,97.64,,,,,,,,,,,,,,,
MariaHe87091126,,97.62,,,,,,,,,,,,,,,
Bolsona64617003,,97.61,,,,,,,,,,,,,,,
ladodpatriota,,97.61,,,,,,,,,,,,,,,
_leaoedu,,97.6,,,,,,,,,,,,,,,
RobsonF17233806,,97.59,,,,,,,,,,,,,,,
ThiagoM10688852,,97.59,,,,,,,,,,,,,,,
Nadir070920,,97.59,,,,,,,,,,,,,,,
memoria_futebol,,97.55,,,,,,,,,,,,,,,
Anapaul86758669,,97.52,,,,,,,,,,,,,,,
claudioslima,,97.52,,,,,,,,,,,,,,,
joseant15493247,,97.52,,,,,,,,,,,,,,,
Nielsen13291,,97.51,,,,,,,,,,,,,,,
azevedorep,,97.51,,,,,,,,,,,,,,,
Jarbaslemos4,,97.51,,,,,,,,,,,,,,,
ArnaldoArnxjr,,97.5,,,,,,,,,,,,,,,
MariaLi92636021,,97.5,,,,,,,,,,,,,,,
FabioSi97854255,,97.5,,,,,,,,,,,,,,,
deborah74754129,,97.49,,,,,,,,,,,,,,,
Edgard23095815,,97.49,,,,,,,,,,,,,,,
Aniston86911941,,97.49,,,,,,,,,,,,,,,
EsserMachado,,97.46,,,,,,,,,,,,,,,
jantoniocs29,,97.46,,,,,,,,,,,,,,,
WandaWanderblit,,97.45,,,,,,,,,,,,,,,
JuniorB75369646,,97.45,,,,,,,,,,,,,,,
valdenicio47,,97.44,,,,,,,,,,,,,,,
Mara75338996,,97.44,,,,,,,,,,,,,,,
TelmaAlmeidaDo3,,97.43,,,,,,,,,,,,,,,
MarcusV38989927,,97.42,,,,,,,,,,,,,,,
marcelo46063951,,97.41,,,,,,,,,,,,,,,
joca010866,,97.4,,,,,,,,,,,,,,,
helenagsoo,,97.4,,,,,,,,,,,,,,,
hanahmelo19,,97.4,,,,,,,,,,,,,,,
Ribeirao1000,,97.39,,,,,,,,,,,,,,,
raimund69885675,,97.39,,,,,,,,,,,,,,,
karmem11569731,,97.39,,,,,,,,,,,,,,,
Drica57626836,,97.38,,,,,,,,,,,,,,,
LidiaConta,,97.37,,,,,,,,,,,,,,,
Mrio36621416,,97.35,,,,,,,,,,,,,,,
FtimaSo50727184,,97.35,,,,,,,,,,,,,,,
Bianca84792462,,97.34,,,,,,,,,,,,,,,
rabbitfeliz,,97.34,,,,,,,,,,,,,,,
Luis14nov2017,,97.31,,,,,,,,,,,,,,,
Nivaldo97831303,,97.31,,,,,,,,,,,,,,,
diken_2,,97.3,,,,,,,,,,,,,,,
danielvalves,,97.29,,,,,,,,,,,,,,,
marcosp49870615,,97.29,,,,,,,,,,,,,,,
MauroDe53100024,,97.27,,,,,,,,,,,,,,,
Francis89087376,,97.26,,,,,,,,,,,,,,,
NICK10291764,,97.26,,,,,,,,,,,,,,,
Roberto12996526,,97.22,,,,,,,,,,,,,,,
Bruno02889447,,97.22,,,,,,,,,,,,,,,
geraldo26822655,,97.21,,,,,,,,,,,,,,,
Anderson140673,,97.21,,,,,,,,,,,,,,,
Eduardo08068073,,97.2,,,,,,,,,,,,,,,
Paulo332769245,,97.2,,,,,,,,,,,,,,,
joaonin97461742,,97.19,,,,,,,,,,,,,,,
Soraya41633025,,97.19,,,,,,,,,,,,,,,
CarlosA60312726,,97.18,,,,,,,,,,,,,,,
Iveted1,,97.18,,,,,,,,,,,,,,,
AnnaSer20832559,,97.18,,,,,,,,,,,,,,,
Jair05918237,,97.16,,,,,,,,,,,,,,,
HaroldoCoelho3,,97.15,,,,,,,,,,,,,,,
JooBati91216216,,97.14,,,,,,,,,,,,,,,
cristin81495053,,97.14,,,,,,,,,,,,,,,
KarlaRo13018369,,97.14,,,,,,,,,,,,,,,
LuizCar99138536,,97.14,,,,,,,,,,,,,,,
danield03517031,,97.13,,,,,,,,,,,,,,,
LucasPa87832157,,97.12,,,,,,,,,,,,,,,
RyanSil10151085,,97.12,,,,,,,,,,,,,,,
joao_merisio,,97.12,,,,,,,,,,,,,,,
FranBar76500532,,97.12,,,,,,,,,,,,,,,
Eduardo71116637,,97.12,,,,,,,,,,,,,,,
MarcosA85892643,,97.12,,,,,,,,,,,,,,,
Osmar06531036,,97.1,,,,,,,,,,,,,,,
Celiano33589886,,97.09,,,,,,,,,,,,,,,
MARCOS59258362,,97.09,,,,,,,,,,,,,,,
kurkulak47,,97.08,,,,,,,,,,,,,,,
LuizCar80709730,,97.07,,,,,,,,,,,,,,,
Hefesto22168397,,97.07,,,,,,,,,,,,,,,
Walter14487034,,97.07,,,,,,,,,,,,,,,
Mariada56842972,,97.07,,,,,,,,,,,,,,,
laercio75316441,,97.07,,,,,,,,,,,,,,,
binho99326948,,97.07,,,,,,,,,,,,,,,
Celso98650091,,97.07,,,,,,,,,,,,,,,
Raphael04425929,,97.06,,,,,,,,,,,,,,,
viradonamulest4,,97.06,,,,,,,,,,,,,,,
caitano52269066,,97.06,,,,,,,,,,,,,,,
katia_lunas,,97.05,,,,,,,,,,,,,,,
Daniell63497161,,97.04,,,,,,,,,,,,,,,
Mariade22366064,,97.03,,,,,,,,,,,,,,,
Roseliol2,,97.03,,,,,,,,,,,,,,,
FlaviaS98693470,,97.03,,,,,,,,,,,,,,,
Douglas63611274,,97.01,,,,,,,,,,,,,,,
ValterNunesCol2,,96.99,,,,,,,,,,,,,,,
Josechr39730664,,96.99,,,,,,,,,,,,,,,
AG21D,,96.98,,,,,,,,,,,,,,,
gianiCavallaro,,96.98,,,,,,,,,,,,,,,
Junior09988,,96.97,,,,,,,,,,,,,,,
Viniciu14703732,,96.96,,,,,,,,,,,,,,,
LuizCar44516750,,96.96,,,,,,,,,,,,,,,
FlviaFe95300226,,96.96,,,,,,,,,,,,,,,
Ferreir38401576,,96.95,,,,,,,,,,,,,,,
DivaldoA1000,,96.95,,,,,,,,,,,,,,,
JMarcelo68N,,96.95,,,,,,,,,,,,,,,
RDoelinger,,96.94,,,,,,,,,,,,,,,
Bellais18820655,,96.92,,,,,,,,,,,,,,,
DelmaBrandao,,96.92,,,,,,,,,,,,,,,
_mariopaulo,,96.92,,,,,,,,,,,,,,,
Fernand39342520,,96.92,,,,,,,,,,,,,,,
erickcostabh,,96.92,,,,,,,,,,,,,,,
Alessan39142739,,96.91,,,,,,,,,,,,,,,
Nilda77225860,,96.91,,,,,,,,,,,,,,,
Welton66405295,,96.9,,,,,,,,,,,,,,,
Givanil95273886,,96.88,,,,,,,,,,,,,,,
ednaldo21827197,,96.88,,,,,,,,,,,,,,,
Emanuel19105470,,96.88,,,,,,,,,,,,,,,
VanescaCabral,,96.87,,,,,,,,,,,,,,,
Deiviso19603212,,96.87,,,,,,,,,,,,,,,
MarcusMouraofic,,96.86,,,,,,,,,,,,,,,
gilbertofcj,,96.85,,,,,,,,,,,,,,,
nortonurach,,96.84,,,,,,,,,,,,,,,
Joisa40959126,,96.83,,,,,,,,,,,,,,,
Marcosp96604764,,96.83,,,,,,,,,,,,,,,
Joele05435954,,96.83,,,,,,,,,,,,,,,
kamekaze2999,,96.83,,,,,,,,,,,,,,,
Antonio25642209,,96.82,,,,,,,,,,,,,,,
daniela75493371,,96.82,,,,,,,,,,,,,,,
ANTONIO86069610,,96.82,,,,,,,,,,,,,,,
fabio_thabib,,96.82,,,,,,,,,,,,,,,
DanEstevam30,,96.8,,,,,,,,,,,,,,,
Cristia29395329,,96.8,,,,,,,,,,,,,,,
John29503527,,96.8,,,,,,,,,,,,,,,
paulocutia,,96.8,,,,,,,,,,,,,,,
Lupi_2012,,96.76,,,,,,,,,,,,,,,
ivanclemente,,96.76,,,,,,,,,,,,,,,
MacielAureo,,96.76,,,,,,,,,,,,,,,
RockyFLA,,96.75,,,,,,,,,,,,,,,
leonard60702599,,96.73,,,,,,,,,,,,,,,
SouzaLi95852792,,96.73,,,,,,,,,,,,,,,
patrici44856741,,96.73,,,,,,,,,,,,,,,
